link_id,u,v,key,osmid,oneway,lanes,name,highway,road_type,reversed,length,geometry,maxspeed,width,ref,access,y,x
0,0,222,0,10741734,TRUE,2,Καματερού,primary,1,FALSE,6.341,"LINESTRING (23.726682 37.9871724, 23.7267319 37.9871311)",,,,,37.9871311,23.7267319
1,0,68,0,384593008,TRUE,2,Μάρνη,secondary,2,FALSE,25.295,"LINESTRING (23.726682 37.9871724, 23.7265929 37.9871202, 23.7264514 37.9870356)",,,,,37.9870356,23.7264514
2,1,145,0,10741731,TRUE,,Σατωβριάνδου,residential,0,FALSE,15.665,"LINESTRING (23.7241204 37.9856434, 23.7242961 37.9856175)",,,,,37.9856175,23.7242961
3,1,240,0,10976435,FALSE,4,Μάρνη,secondary,2,FALSE,61.072,"LINESTRING (23.7241204 37.9856434, 23.7246801 37.9859706)",,,,,37.9859706,23.7246801
4,2,82,0,789796816,TRUE,,Καραγιώργη Σερβίας,residential,0,FALSE,82.446,"LINESTRING (23.7343793 37.9761998, 23.7340812 37.9762601, 23.7338002 37.9763107, 23.7337544 37.9763175, 23.7336867 37.9763254, 23.7334596 37.9763519)",,,,,37.9763519,23.7334596
5,3,15,0,634244587,TRUE,,Ακομινάτου,residential,0,FALSE,60.295,"LINESTRING (23.723325 37.9863552, 23.7234789 37.9868837)",30,6.2,,,37.9868837,23.7234789
6,4,34,0,10741726,TRUE,,Βίκτωρος Ουγκώ,residential,0,FALSE,13.415,"LINESTRING (23.7249236 37.9861129, 23.7248228 37.9861259, 23.7247728 37.9861335)",,,,,37.9861335,23.7247728
7,4,207,0,10976435,FALSE,4,Μάρνη,secondary,2,FALSE,33.934,"LINESTRING (23.7249236 37.9861129, 23.725086 37.9862079, 23.7251001 37.9862161, 23.7252346 37.9862947)",,,,,37.9862947,23.7252346
8,4,240,0,10976435,FALSE,4,Μάρνη,secondary,2,TRUE,26.566,"LINESTRING (23.7249236 37.9861129, 23.7248266 37.9860562, 23.7248063 37.9860443, 23.7246801 37.9859706)",,,,,37.9859706,23.7246801
9,5,6,0,10741722,TRUE,2,Μενάνδρου,tertiary,3,FALSE,63.617,"LINESTRING (23.725926 37.985959, 23.7258515 37.9856607, 23.7257879 37.9854144, 23.7257836 37.985398)",,,,,37.985398,23.7257836
10,5,30,0,32357772,TRUE,,Βερανζέρου,residential,0,FALSE,65.814,"LINESTRING (23.725926 37.985959, 23.7253021 37.9860548, 23.7252449 37.9860636, 23.7251889 37.9860722)",,,,,37.9860722,23.7251889
