link_id,action,next_link_id,road_type
0,1,368.0,1
0,2,369.0,1
1,1,127.0,2
2,1,245.0,0
2,2,244.0,0
3,1,398.0,2
3,2,397.0,2
5,1,29.0,0
5,2,28.0,0
6,1,66.0,0
6,2,67.0,0
7,1,343.0,2
7,2,344.0,2
8,1,398.0,2
8,2,397.0,2
9,1,11.0,3
9,2,12.0,3
10,1,58.0,0
10,2,59.0,0
11,1,424.0,3
11,2,423.0,3
12,1,16.0,0
12,2,15.0,0
13,1,16.0,3
13,2,15.0,3
14,1,10.0,0
14,2,9.0,0
15,1,34.0,0
16,1,240.0,3
16,2,239.0,3
17,1,11.0,0
17,2,12.0,0
18,1,58.0,0
18,2,59.0,0
19,1,24.0,1
19,2,25.0,1
20,1,23.0,2
21,1,85.0,2
21,2,84.0,2
22,1,332.0,2
22,2,331.0,2
23,1,73.0,2
24,1,352.0,1
24,2,351.0,1
25,1,23.0,3
26,1,343.0,2
26,2,344.0,2
27,1,72.0,2
27,2,71.0,2
27,3,70.0,2
28,1,144.0,0
29,1,404.0,0
30,1,238.0,1
30,2,237.0,1
31,1,360.0,1
31,2,359.0,1
32,1,14.0,0
32,2,13.0,0
33,1,31.0,1
33,2,30.0,1
34,1,33.0,1
34,2,32.0,1
35,1,340.0,1
35,2,341.0,1
36,1,248.0,3
36,2,250.0,3
36,3,249.0,3
37,1,40.0,0
37,2,39.0,0
38,1,35.0,3
38,2,36.0,3
39,1,75.0,0
39,2,74.0,0
40,1,50.0,1
40,2,49.0,1
41,1,381.0,1
41,2,380.0,1
41,3,382.0,1
42,1,38.0,3
42,2,37.0,3
43,1,46.0,1
43,2,47.0,1
43,3,48.0,1
44,1,51.0,2
45,1,43.0,3
45,2,41.0,3
45,3,42.0,3
46,1,358.0,1
47,1,44.0,2
47,2,45.0,2
48,1,43.0,1
48,2,41.0,1
48,3,42.0,1
49,1,366.0,2
49,2,367.0,2
50,1,19.0,1
50,2,20.0,1
51,1,333.0,1
52,1,362.0,1
52,2,363.0,1
53,1,60.0,3
53,2,61.0,3
54,1,408.0,2
54,2,407.0,2
55,1,133.0,2
55,2,132.0,2
56,1,10.0,3
56,2,9.0,3
57,1,27.0,2
57,2,26.0,2
58,1,343.0,0
58,2,344.0,0
59,1,7.0,0
59,2,6.0,0
59,3,8.0,0
60,1,128.0,0
60,2,129.0,0
61,1,62.0,3
61,2,63.0,3
62,1,68.0,0
62,2,69.0,0
63,1,64.0,3
63,2,65.0,3
64,1,66.0,3
64,2,67.0,3
65,1,27.0,0
65,2,26.0,0
66,1,5.0,0
67,1,398.0,3
67,2,397.0,3
68,1,323.0,0
68,2,324.0,0
69,1,144.0,0
70,1,57.0,3
70,2,56.0,3
71,1,27.0,2
71,2,26.0,2
72,1,412.0,2
72,2,411.0,2
73,1,22.0,2
73,2,21.0,2
74,1,396.0,0
75,1,310.0,1
75,2,311.0,1
76,1,79.0,1
77,1,75.0,1
77,2,74.0,1
78,1,50.0,2
78,2,49.0,2
79,1,81.0,1
79,2,80.0,1
80,1,118.0,2
80,2,119.0,2
81,1,117.0,1
82,1,24.0,3
82,2,25.0,3
83,1,76.0,1
83,2,78.0,1
83,3,77.0,1
84,1,81.0,2
84,2,80.0,2
85,1,314.0,1
85,2,315.0,1
86,1,98.0,0
87,1,106.0,3
87,2,105.0,3
89,1,282.0,2
90,1,89.0,2
90,2,88.0,2
91,1,85.0,1
91,2,84.0,1
92,1,396.0,0
93,1,76.0,3
93,2,78.0,3
93,3,77.0,3
94,1,310.0,2
94,2,311.0,2
95,1,378.0,0
95,2,379.0,0
96,1,339.0,0
97,1,94.0,2
97,2,95.0,2
98,1,99.0,0
98,2,100.0,0
99,1,110.0,0
99,2,109.0,0
100,1,101.0,0
101,1,103.0,0
101,2,102.0,0
102,1,104.0,0
103,1,371.0,0
104,1,286.0,0
104,2,285.0,0
105,1,112.0,0
105,2,111.0,0
106,1,270.0,3
106,2,271.0,3
